period,seguro,abono,bolsa
2005-09,104052067.32,23773677.60,215140833.50
2005-10,37643466.68,-8403686.81,196212131.53
2005-11,111388563.05,-11737431.47,341244201.08
2005-12,81704571.97,-2016667.78,282198358.55
2006-01,190747034.34,7418225.79,293370859.14
2006-02,38734329.33,11514018.73,267314459.74
2006-03,768842.02,11845693.56,136318630.28
2006-04,14365107.51,2841724.02,122849369.31
2006-05,5231655.67,9381989.75,131879944.92
2006-06,58492854.59,6595560.49,168920864.70
2006-07,11813822.56,-9381106.27,165805537.98
2006-08,14848194.60,7626309.81,13427084.22
2006-09,9709791.20,39376153.89,23787451.88
2006-10,99353879.03,108544611.83,139724300.82
2006-11,33812970.71,-312002588.01,177071352.25
2006-12,304634531.87,161190034.30,265754571.11
2007-01,140875989.07,87694252.15,161696730.56
2007-02,15371906.28,69346944.31,85172990.10
2007-03,88989143.10,52714410.52,115483045.38
2007-04,-340160.79,35727592.48,121552406.74
2007-05,9170846.71,19034981.02,181797921.65
2007-06,108702746.24,5027902.33,160137018.74
2007-07,130468099.48,4235253.60,156795058.81
2007-08,45415349.23,99608856.52,64127266.51
2007-09,33407289.24,38960847.35,185274280.90
2007-10,159212840.83,67030627.06,147322695.85
2007-11,93699691.12,146743865.98,145273769.10
2007-12,355903207.95,113694154.46,163642665.57
2008-01,182285896.74,12165061.74,161851494.20
2008-02,224125788.74,3842592.85,170405222.71
2008-03,160068023.92,6280110.37,78587288.25
2008-04,70450813.96,4602284.97,152107830.56
2008-05,202983349.41,2713730.07,152883612.96
2008-06,146699545.18,14234538.93,159793487.23
2008-07,165642877.26,8070511.67,89549031.49
2008-08,43310488.33,268797121.60,201134756.73
2008-09,234372735.24,49645941.22,205642440.86
2008-10,335648236.03,161076374.52,171365037.51
2008-11,55329967.63,80138002.73,230986166.84
2008-12,102459785.49,75048541.07,203926031.80
2009-01,76637728.73,3559368.33,201220010.76
2009-02,85933032.95,3702406.08,164776974.36
2009-03,225082979.14,6644273.14,219370285.07
2009-04,123391609.42,682169.93,196061559.32
2009-05,57824609.77,12782968.28,238850941.02
2009-06,108455822.08,-1712636.64,206577686.95
2009-07,36902344.86,421088839.35,189870968.59
2009-08,74429883.41,24513026.55,211108100.13
2009-09,34777163.31,-24370196.95,263104672.31
2009-10,51585759.11,13847578.00,40530004.31
2009-11,-61100372.42,-11755464.59,222375718.68
2009-12,327101382.57,87308220.69,73635407.88
2010-01,184636207.88,3813040.44,394923033.45
2010-02,235725274.37,93157467.30,418168710.75
2010-03,337087874.35,66764085.68,87704327.72
2010-04,281827789.29,65591466.82,91989202.95
2010-05,164154364.51,13226389.14,245001.72
2010-06,53456634.32,-8612334.97,193173423.53
2010-07,123412218.20,210031459.31,104582198.90
2010-08,13437159.13,39585087.97,-107319.63
2010-09,107452661.27,-25488514.51,21821149.37
2010-10,155808211.61,83527714.15,71583768.22
2010-11,52379328.97,86957760.63,41964370.67
2010-12,430313346.61,136833929.41,-104998492.78
2011-01,385603825.26,148872886.92,149779791.22
2011-02,8881780.39,103065311.05,175833611.61
2011-03,176340590.75,72695788.65,40303127.35
2011-04,59594824.81,49334696.45,45640947.68
2011-05,108891890.42,21533529.73,141728903.86
2011-06,102555408.70,18399603.41,212832352.86
2011-07,521639222.22,738062297.59,30569725.82
2011-08,119776925.85,25681894.28,16163846.87
2011-09,188657902.19,46207678.58,46330296.43
2011-10,466256219.45,87942502.60,13267279.77
2011-11,-520101062.81,404966153.83,14713266.42
2011-12,398857873.88,211572449.95,116103587.18
2012-01,521970892.60,128823869.57,215334464.68
2012-02,-88394713.19,88099988.05,158849935.48
2012-03,292661389.59,52225323.89,146725821.98
2012-04,173574097.73,24198568.56,361727954.73
2012-05,-65681643.34,28311558.52,299731094.71
2012-06,27671165.37,35929835.74,233268297.71
2012-07,-16769077.28,345493567.45,-135050743.05
2012-08,143499315.14,22419132.85,-12819178.45
2012-09,-8849434.95,72004106.21,-182967467.57
2012-10,344721553.46,163626879.15,-18318870.25
2012-11,199268774.08,-338752038.35,22581974.93
2012-12,-496993393.51,276201318.97,7337218.13
2013-01,301766001.58,142096458.72,102064792.48
2013-02,237216780.86,93234979.87,76627828.48
2013-03,44782171.23,96727762.25,72594517.70
2013-04,347362633.05,75282118.87,270638934.87
2013-05,-4668568.96,26097470.81,-17806510.13
2013-06,113832267.34,13748346.07,80952861.45
2013-07,190600487.90,-207138416.61,7938566.16
2013-08,-576255786.36,-1497068136.31,26302131.66
2013-09,-1519616679.71,-89503233.87,27889113.73
2013-10,-1289782970.92,-1583630833.66,-1199183.78
2013-11,-653887506.38,-351716840.76,-226459371.20
2013-12,-1872227712.14,-620019346.78,-480681312.20
2014-01,-36250580.34,34026420.64,109543541.40
2014-02,-1373523982.99,-19559203.35,-773711666.20
2014-03,-1427389597.75,-13315673.04,-203909568.16
2014-04,-1644065955.52,298203135.48,-227528796.39
2014-05,-2591185834.75,220553638.49,-1000977160.39
2014-06,-1823180468.16,-82329648.59,-1782220351.39
2014-07,-2667230891.65,-900226753.56,-2018357317.39
2014-08,46573761.35,-938575623.80,-711025490.45
2014-09,-311054424.74,-443321234.10,-286935708.95
2014-10,107206775.94,31747381.44,6411319.34
2014-11,170493268.05,12347402.71,42188456.66
2014-12,50235401.93,10113983.83,22374579.05
2015-01,918688464.81,49865437.71,273228175.45
2015-02,294427909.29,16074647.39,95515415.74
2015-03,-44541050.31,505098.89,31872147.05
2015-04,412656860.89,29318853.24,37383628.65
2015-05,353830462.22,231316772.01,67998544.64
2015-06,181816481.67,2976745.09,52520223.24
2015-07,517025460.60,235675926.53,81011133.54
2015-08,309347636.41,334099818.26,173628793.72
